,recipe_source,recipe_id,recipe_name,recipe_ratings,recipe_ratings_normalized,peanut,garlic,scallion / spring onion / green onion,rice noodle,bean sprout,soy sauce,coriander / cilantro,egg,fish sauce,carrot
57,yummly,Y058,CHICKEN AND PRAWN PAD THAI,4.0,0.46237369985141163,,4.0,4.5,,1.0,3.0,8.0,3.0,,
58,yummly,Y059,One-Pot Pad Thai,4.0,0.46237369985141163,4.0,3.0,0.25,8.0,1.0,,,2.0,2.5,
59,yummly,Y060,15 Minute Pad Thai,4.0,0.46237369985141163,8.0,,,4.0,0.5,4.0,,2.0,,
60,yummly,Y061,Pad Thai,4.67,0.5461236998514116,,4.0,0.75,,1.0,,4.0,2.0,3.0,
61,yummly,Y062,Pad Thai Spring Rolls,5.0,0.5873736998514116,8.0,3.0,,8.0,,0.333333333,,,3.0,2.0
62,yummly,Y063,Raw Vegan Pad Thai,5.0,0.5873736998514116,,,,8.0,1.0,,8.0,,,
63,yummly,Y064,Pad Thai Inspired Noodle Dish,5.0,0.5873736998514116,,1.0,,,,0.666666666,5.333333333,,,
64,yummly,Y065,Spicy Vegan Pad Thai,5.0,0.5873736998514116,,0.5,,8.0,,1.0,,,,1.333333333
65,yummly,Y066,Easy Vegetable Pad Thai,3.5,0.39987369985141163,8.0,2.0,0.75,8.0,,3.0,,2.0,,
66,yummly,Y067,Vegan Pad Thai,4.0,0.46237369985141163,4.0,1.0,1.5,8.0,,4.0,8.0,,,2.666666667
67,yummly,Y068,Pad Thai,5.0,0.5873736998514116,,3.0,,8.0,,3.0,8.0,2.0,,
68,yummly,Y069,Chicken Pad Thai,4.6,0.5373736998514116,8.0,3.0,0.75,8.0,1.5,3.0,,2.0,3.0,
69,yummly,Y070,Spring Vegetable Pad Thai,3.8,0.4373736998514116,4.0,3.0,,,,3.0,8.0,,,0.666666667
70,yummly,Y071,Chicken Pad Thai,5.0,0.5873736998514116,,2.0,,14.0,1.0,3.0,,2.0,,1.5
71,yummly,Y072,Pad Thai Recipe (Vegan),5.0,0.5873736998514116,8.0,,,12.0,,4.0,,,3.0,
72,yummly,Y073,Chicken Pad Thai Meal Prep,2.5,0.27487369985141163,4.0,3.0,,8.0,,1.0,,3.0,,1.333333333
73,yummly,Y074,Ramen Pad Thai,5.0,0.5873736998514116,4.0,,0.75,10.0,,2.0,,,4.0,
74,yummly,Y075,Lightened Up Pad Thai,4.5,0.5248736998514116,,2.0,,,,,5.333333328,,,3.0
75,yummly,Y076,Pork Pad Thai,4.0,0.46237369985141163,,3.0,1.0,4.0,1.5,4.0,5.333333328,,,1.0
76,yummly,Y077,Healthy Chicken Pad Thai Meal Prep,3.75,0.43112369985141163,4.0,4.0,0.25,8.0,,4.0,,,,
77,yummly,Y078,Chicken Pad Thai,4.0,0.46237369985141163,,2.0,1.0,4.0,3.0,,8.0,2.0,,
78,yummly,Y079,10-minute pad Thai,4.0,0.46237369985141163,8.0,3.0,0.5,8.81849,1.0,,2.0,1.0,3.0,
79,yummly,Y080,Instant Pot Pad Thai Stir Fry,4.75,0.5561236998514116,1.0,9.0,,7.054792,1.5,,,,1.0,1.0
80,yummly,Y081,10 Minute Shrimp Zoodle Pad Thai,4.0,0.46237369985141163,,3.0,0.75,,0.881849768,3.0,8.0,,,1.0
81,yummly,Y082,Pad Thai,2.0,0.21237369985141163,4.0,,0.5,,0.749572303,,,2.0,1.0,
82,yummly,Y083,Pad Thai,5.0,0.5873736998514116,1.0,1.0,0.5,7.054792,,,,,2.5,
83,yummly,Y084,Pad Thai,1.0,0.08737369985141163,,4.0,,16.0,,,,,,1.0
84,yummly,Y085,Pad Thai,4.0,0.46237369985141163,,,0.5,8.0,1.0,5.0,,2.0,,
85,yummly,Y086,Pad Thai,1.0,0.08737369985141163,5.333333333,4.0,1.5,8.81849,,2.0,,,3.0,
86,yummly,Y087,Easy Pad Thai,4.0,0.46237369985141163,16.0,2.0,0.5,,0.5,0.5,,2.0,,0.75
87,yummly,Y088,Paleo Pad Thai with Zucchini Noodles,5.0,0.5873736998514116,4.0,3.0,1.25,8.0,0.881849768,4.0,5.333333333,2.0,,1.0
88,yummly,Y089,Shrimp Pad Thai,4.0,0.46237369985141163,,2.0,,,,,,2.0,,
89,yummly,Y090,Spaghetti Squash Pad Thai,4.6,0.5373736998514116,,2.0,1.0,,,,,2.0,3.5,2.0
90,yummly,Y091,"""Cheater"" Pad Thai",2.0,0.21237369985141163,8.0,2.0,,,,,3.0,,,
91,yummly,Y092,Prawn pad Thai,5.0,0.5873736998514116,,2.0,1.25,4.0,1.5,4.0,,2.0,,0.666666667
92,yummly,Y093,Shrimp Pad Thai,4.0,0.46237369985141163,,4.0,,12.345886,1.5,,8.0,3.0,0.666666666,0.333333333
93,yummly,Y094,Healthy Shrimp Pad Thai,2.0,0.21237369985141163,,,1.5,10.582188,0.75,,,3.0,3.0,0.5
94,yummly,Y095,Vegan Pad Thai,5.0,0.5873736998514116,4.0,2.0,0.5,4.0,,3.0,,,2.0,0.5
95,yummly,Y096,Chicken Pad Thai,4.0,0.46237369985141163,4.0,3.0,,8.0,,2.0,,1.0,,
96,yummly,Y097,Cheater Pad Thai,5.0,0.5873736998514116,4.0,2.0,0.5,8.0,0.5,2.0,4.0,1.0,3.0,
97,yummly,Y098,Paleo Pad Thai,4.0,0.46237369985141163,,2.0,0.25,16.0,,3.0,2.0,2.0,,
98,yummly,Y099,Tofu Pad Thai,4.0,0.46237369985141163,,6.0,0.5,,1.0,1.0,2.0,2.0,,
99,yummly,Y100,Chicken Pad Thai,5.0,0.5873736998514116,5.333333328,2.0,,8.0,2.0,,,1.0,2.0,
100,yummly,Y101,Vegan Pad Thai,4.0,0.46237369985141163,1.0,1.0,,,,,,2.0,3.5,
101,yummly,Y102,Pad Thai Sauce,5.0,0.5873736998514116,,3.0,0.75,,2.0,,8.0,,,1.333333333
