,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_of_reviewers,recipe_num_saved,recipe_link
0,56,30-Minute Vegan Pad Thai,VEGAN HUGGS,5,1,187,https://www.yummly.com/recipe/30-Minute-Vegan-Pad-Thai-2685811
0,57,Vegan Pad Thai,CHOOSING CHIA,1,1,621,https://www.yummly.com/recipe/Vegan-Pad-Thai-2693013
0,58,CHICKEN AND PRAWN PAD THAI,ADORA'S BOX,4,1,19,https://www.yummly.com/recipe/CHICKEN-AND-PRAWN-PAD-THAI-2177889
0,59,One-Pot Pad Thai,BUZZFEED,4,3,1000,https://www.yummly.com/recipe/One-Pot-Pad-Thai-1550613
0,60,15 Minute Pad Thai,FEASTING AT HOME,4,2,779,https://www.yummly.com/recipe/15-Minute-Pad-Thai-2264745
0,61,Pad Thai,THE RECIPE CRITIC,4.67,3,243,https://www.yummly.com/recipe/Pad-Thai-2469342
0,62,Pad Thai Spring Rolls,MINIMALIST BAKER,5,3,3000,https://www.yummly.com/recipe/Pad-Thai-Spring-Rolls-1498222
0,63,Raw Vegan Pad Thai,THE EDGY VEG,5,1,596,https://www.yummly.com/recipe/Raw-Vegan-Pad-Thai-1438562
0,64,Pad Thai Inspired Noodle Dish,ADVENTURES BY KATIE,5,1,593,https://www.yummly.com/recipe/Pad-Thai-Inspired-Noodle-Dish-1663407
0,65,Spicy Vegan Pad Thai,DELISH KNOWLEDGE,5,3,313,https://www.yummly.com/recipe/Spicy-Vegan-Pad-Thai-1548256
0,66,Easy Vegetable Pad Thai,YUMMY HEALTHY EASY,3.5,2,341,https://www.yummly.com/recipe/Easy-Vegetable-Pad-Thai-1274008
0,67,Vegan Pad Thai,VEGAN HUGGS,4,1,274,https://www.yummly.com/recipe/Vegan-Pad-Thai-1874710
0,68,Pad Thai,TASTES BETTER FROM SCRATCH,5,5,152,https://www.yummly.com/recipe/Pad-Thai-2610419
0,69,Chicken Pad Thai,THE GINGERED WHISK,4.6,5,1000,https://www.yummly.com/recipe/Chicken-Pad-Thai-2466855
0,70,Spring Vegetable Pad Thai,THE ROASTED ROOT,3.8,5,2000,https://www.yummly.com/recipe/Spring-Vegetable-Pad-Thai-1300114
0,71,Chicken Pad Thai,FASHIONABLE FOODS,5,4,177,https://www.yummly.com/recipe/Chicken-Pad-Thai-1611646
0,72,Pad Thai Recipe (Vegan),HEALING TOMATO'S BLOG,5,2,343,https://www.yummly.com/recipe/Pad-Thai-Recipe-_Vegan_-1474558
0,73,Chicken Pad Thai Meal Prep,TIP BUZZ,2.5,2,716,https://www.yummly.com/recipe/Chicken-Pad-Thai-Meal-Prep-2298016
0,74,Ramen Pad Thai,DEVOUR DINNER,5,1,115,https://www.yummly.com/recipe/Ramen-Pad-Thai-2638238
0,75,Lightened Up Pad Thai,OH MY VEGGIES,4.5,2,121,https://www.yummly.com/recipe/Lightened-Up-Pad-Thai-2260497
0,76,Pork Pad Thai,GARNISH AND GLAZE,4,1,38,https://www.yummly.com/recipe/Pork-Pad-Thai-9245372
0,77,Healthy Chicken Pad Thai Meal Prep,FIT MEN COOK,3.75,4,2000,https://www.yummly.com/recipe/Healthy-Chicken-Pad-Thai-Meal-Prep-2301073
0,78,Chicken Pad Thai,BIGOVEN,4,2,67,https://www.yummly.com/recipe/Chicken-Pad-Thai-2061820
0,79,10-minute pad Thai,BBC GOOD FOOD,4,1,281,https://www.yummly.com/recipe/10-minute-pad-Thai-432466
0,80,Instant Pot Pad Thai Stir Fry,HUMMUSAPIEN,4.75,4,593,https://www.yummly.com/recipe/Instant-Pot-Pad-Thai-Stir-Fry-2640626
0,81,10 Minute Shrimp Zoodle Pad Thai,GIMMEDELICIOUS,4,2,1000,https://www.yummly.com/recipe/10-Minute-Shrimp-Zoodle-Pad-Thai-9147194
0,82,Pad Thai,TIFFY COOKS,2,1,6,https://www.yummly.com/recipe/Pad-Thai-9830644
0,83,Pad Thai,FRIED DANDELIONS,5,2,50,https://www.yummly.com/recipe/Pad-Thai-2318458
0,84,Pad Thai,THE WHOLE FOOD PLANT BASED COOKING SHOW,1,1,69,https://www.yummly.com/recipe/Pad-Thai-9090775
0,85,Pad Thai,BBC,4,1,31,https://www.yummly.com/recipe/Pad-Thai-2346837
0,86,Pad Thai,MARCUS SAMUELSSON,1,1,27,https://www.yummly.com/recipe/Pad-Thai-1713142
0,87,Easy Pad Thai,EVOLVING TABLE,4,1,81,https://www.yummly.com/recipe/Easy-Pad-Thai-9745581
0,88,Paleo Pad Thai with Zucchini Noodles,PALEO GRUBS,5,1,290,https://www.yummly.com/recipe/Paleo-Pad-Thai-with-Zucchini-Noodles-1164963
0,89,Shrimp Pad Thai,RASA MALAYSIA,4,1,24,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2554773
0,90,Spaghetti Squash Pad Thai,A COUPLE COOKS,4.6,5,1000,https://www.yummly.com/recipe/Spaghetti-Squash-Pad-Thai-1957417
0,91,"""Cheater"" Pad Thai",HAPPY HERBIVORE,2,1,106,https://www.yummly.com/recipe/_Cheater_-Pad-Thai-2121877
0,92,Prawn pad Thai,HEALTHY FOOD GUIDE,5,2,46,https://www.yummly.com/recipe/Prawn-pad-Thai-2059050
0,93,Shrimp Pad Thai,A DAY IN THE KITCHEN,4,1,84,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2511725
0,94,Healthy Shrimp Pad Thai,WELL PLATED,2,2,226,https://www.yummly.com/recipe/Healthy-Shrimp-Pad-Thai-2534236
0,95,Vegan Pad Thai,IN THE KITCH,5,2,49,https://www.yummly.com/recipe/Vegan-Pad-Thai-9024902
0,96,Chicken Pad Thai,PASS THE SUSHI,4,1,86,https://www.yummly.com/recipe/Chicken-Pad-Thai-2642807
0,97,Cheater Pad Thai,STEAMY KITCHEN,5,2,857,https://www.yummly.com/recipe/Cheater-Pad-Thai-2314605
0,98,Paleo Pad Thai,LAINE FITNESS,4,2,75,https://www.yummly.com/recipe/Paleo-Pad-Thai-1862125
0,99,Tofu Pad Thai,ASIAN CAUCASIAN,4,1,71,https://www.yummly.com/recipe/Tofu-Pad-Thai-1518569
0,100,Chicken Pad Thai,RASA MALAYSIA,5,1,19,https://www.yummly.com/recipe/Chicken-Pad-Thai-9191976
0,101,Vegan Pad Thai,NADIA THE GOOD FOOD COOK,4,1,48,https://www.yummly.com/recipe/Vegan-Pad-Thai-1498688
0,102,Pad Thai Sauce,ONE INGREDIENT CHEF,5,1,9,https://www.yummly.com/recipe/Pad-Thai-Sauce-2444845
0,103,Pad Thai Noodles,THE WICKED NOODLE,5,1,37,https://www.yummly.com/recipe/Pad-Thai-Noodles-1032847
0,104,Easy Spicy Chicken Pad Thai,MY MODERN COOKERY,5,1,54,https://www.yummly.com/recipe/Easy-Spicy-Chicken-Pad-Thai-2357158
