,recipe_id,recipe_link
12,192,https://www.yummly.com/recipe/Pad-Thai-Salad-1527467
13,193,https://www.yummly.com/recipe/Chicken-Pad-Thai-2522956
14,194,https://www.yummly.com/recipe/Sweet-Potato-Shrimp-Pad-Thai-1726724
0,195,https://www.yummly.com/recipe/Pad-Thai-9176390
1,196,https://www.yummly.com/recipe/Pad-Thai-9008036
2,197,https://www.yummly.com/recipe/Slow-Cooker-Pad-Thai-Chicken-2001995
3,198,https://www.yummly.com/recipe/Tofu-Pad-Thai-9407246
4,199,https://www.yummly.com/recipe/Vegetarian-Pad-Thai-_update_-1753136
5,200,https://www.yummly.com/recipe/Vegan-and-Gluten-Free-Simple-Walnut-Butter-Pad-Thai-1708846
6,201,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2041185
7,202,https://www.yummly.com/recipe/Low-Calorie-Pad-Thai-2013257
8,203,https://www.yummly.com/recipe/Protein-Noodles-Homestyle-Pad-Thai-9179988
9,204,https://www.yummly.com/recipe/Better-Than-Takeout-Garlic-Butter-Shrimp-Pad-Thai_-9161379
10,205,https://www.yummly.com/recipe/Slow-Cooker-Chicken-Pad-Thai-9620707
11,206,https://www.yummly.com/recipe/Shrimp-Pad-Thai-1506111
12,207,https://www.yummly.com/recipe/Vegan-Pad-Thai-1730031
13,208,https://www.yummly.com/recipe/Pad-Thai-Chicken-Burgers-1299512
14,209,https://www.yummly.com/recipe/Pad-Thai-1179290
15,210,https://www.yummly.com/recipe/Pad-Thai-rice-1508557
16,211,https://www.yummly.com/recipe/Stir-Fried-Chicken-Pad-Thai-1000867
0,212,https://www.yummly.com/recipe/Vegan-Pad-Thai-2666502
1,213,https://www.yummly.com/recipe/Paleo-Pad-Thai-997564
2,214,https://www.yummly.com/recipe/Chicken-Pad-Thai-_Video_-9436449
3,215,https://www.yummly.com/recipe/Pad-Thai-2330886
4,216,https://www.yummly.com/recipe/Pad-Thai-9223474
5,217,https://www.yummly.com/recipe/Best-Pad-Thai-428724
6,218,https://www.yummly.com/recipe/Pepper_s-Pad-Thai-Brussels-Sprouts-9444029
7,219,https://www.yummly.com/recipe/Chicken-Pad-Thai-1279964
8,220,https://www.yummly.com/recipe/Raw-vegan-pad-Thai-9025583
9,221,https://www.yummly.com/recipe/15-Minute-Vegan-Pad-Thai-2103567
10,222,https://www.yummly.com/recipe/Tofu-And-Vegetable-Pad-Thai-Recipezaar
11,223,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2718812
12,224,https://www.yummly.com/recipe/Vegan-Pad-Thai-1713942
13,225,https://www.yummly.com/recipe/Instant-Pot-_-Pressure-Cooker-Pad-Thai-2197868
14,226,https://www.yummly.com/recipe/Vegan-Pad-Thai-2404273
15,227,https://www.yummly.com/recipe/Pad-Thai-1736781
16,228,https://www.yummly.com/recipe/Chicken-Pad-Thai-2024551
0,229,https://www.yummly.com/recipe/Speedy-Pad-Thai-9497365
1,230,https://www.yummly.com/recipe/ZUCCHINI-PAD-THAI-9241970
2,231,https://www.yummly.com/recipe/Meera-Sodhas-vegan-recipe-for-peanut-and-broccoli-pad-thai-2368271
3,232,https://www.yummly.com/recipe/Easy-Paleo-Pad-Thai-2099393
4,233,https://www.yummly.com/recipe/Homemade-Pad-Thai-1776015
5,234,https://www.yummly.com/recipe/Shrimp-Pad-Thai-1019536
6,235,https://www.yummly.com/recipe/Shrimp-_-Prawn-Pad-Thai-_Spice-I-Am-Restaurant-Recipe_-1187748
7,236,https://www.yummly.com/recipe/Pad-Thai-2567285
8,237,https://www.yummly.com/recipe/Shrimp-Pad-Thai-with-Zucchini-Noodles-1478522
